Ground Truth,Strategy 0,Strategy 1,Strategy 2,Strategy 3,Strategy 4,Strategy 5,Strategy 6,Strategy 7,Strategy 8,Strategy 9
-1454.41869,-30.602198,-37.12631,-110.61201,-37.57724,-70.71537,-58.51967,2.3123486,-71.254906,-50.490913,-90.70206
-1519.46027,-47.11346,-2.15935,-39.662674,-67.66133,0.22411844,-92.39481,-79.28095,-21.28034,-99.21309,-112.55863
-1426.515251,-111.00555,-42.133408,-25.067673,-138.55348,-59.52274,-80.45973,-6.1463637,-47.099876,-94.42339,-147.81007
-1503.797282,-115.6411,-44.333748,-79.50146,-112.9065,-59.001095,-118.849785,-73.71802,-66.01844,-107.6086,-163.08583
-1457.859751,-34.126583,-39.361042,-117.453575,-45.15518,-71.74493,-60.168438,1.9222769,-70.52883,-51.706856,-93.033554
-1428.679928,-29.816568,-36.230255,-107.93562,-37.57212,-68.983345,-58.8592,2.1002104,-70.29921,-49.610813,-88.54689
-1452.500821,-115.51509,-43.384296,-22.936901,-144.3841,-63.087437,-81.71534,-1.1625633,-47.52467,-95.55309,-152.00085
-1442.842141,-94.03097,-34.673225,-60.842834,-107.52795,-42.07237,-97.56815,-63.182827,-53.527393,-101.19631,-141.74872
-1493.185451,-34.50568,-40.411983,-120.411,-46.055153,-73.30211,-61.09439,1.9167969,-71.73664,-51.88598,-94.39488
-1468.648031,-44.22562,-0.5493231,-38.252705,-63.15891,2.426928,-89.206184,-78.10213,-18.686733,-94.299095,-106.93682
-1467.193619,-106.14818,-40.66037,-37.535347,-125.061455,-56.976425,-79.26797,-24.349958,-57.045334,-99.66064,-158.20992
-1517.188003,-106.24285,-38.60128,-45.605858,-126.93876,-58.66035,-85.77436,-30.321175,-60.543053,-104.97432,-164.78137
-1405.982379,-102.581764,-39.61269,-33.23403,-122.13576,-54.361588,-74.61461,-18.610487,-53.34794,-94.4875,-151.87018
